feature,importance
tfidf_695,71
text_length,55
tfidf_949,53
tfidf_605,48
tfidf_113,46
tfidf_600,42
tfidf_132,39
tfidf_112,39
word_count,36
tfidf_631,33
tfidf_931,28
tfidf_606,27
tfidf_474,26
tfidf_796,25
tfidf_712,25
tfidf_240,23
tfidf_327,23
tfidf_930,22
tfidf_328,20
tfidf_197,19
tfidf_764,17
tfidf_334,17
tfidf_788,16
tfidf_320,16
tfidf_573,16
tfidf_329,15
tfidf_978,15
tfidf_8,14
tfidf_67,14
tfidf_361,14
tfidf_557,14
tfidf_494,13
tfidf_468,13
tfidf_449,13
tfidf_938,13
tfidf_946,13
tfidf_1,13
tfidf_153,13
tfidf_630,13
tfidf_382,12
tfidf_960,12
tfidf_815,12
tfidf_718,12
tfidf_714,12
tfidf_979,12
tfidf_579,11
tfidf_435,11
tfidf_732,11
tfidf_340,11
tfidf_282,11
tfidf_374,11
tfidf_603,11
tfidf_232,10
tfidf_251,10
tfidf_144,10
tfidf_951,10
tfidf_884,10
tfidf_16,10
tfidf_10,9
tfidf_584,9
tfidf_295,9
tfidf_950,9
tfidf_721,9
tfidf_299,8
tfidf_273,8
tfidf_233,8
tfidf_166,8
tfidf_801,8
tfidf_758,8
tfidf_633,8
tfidf_508,8
tfidf_709,8
tfidf_395,8
tfidf_414,8
tfidf_984,8
tfidf_436,8
tfidf_741,8
tfidf_596,8
tfidf_464,8
tfidf_679,7
tfidf_989,7
tfidf_191,7
tfidf_595,7
tfidf_223,7
tfidf_356,7
tfidf_530,7
tfidf_948,7
tfidf_665,7
tfidf_940,7
tfidf_425,7
tfidf_745,7
tfidf_373,7
tfidf_364,7
tfidf_999,7
has_bullets,7
tfidf_77,7
price_keyword_count,7
tfidf_12,7
tfidf_499,6
tfidf_877,6
tfidf_120,6
tfidf_381,6
tfidf_346,6
tfidf_342,6
tfidf_739,6
tfidf_124,6
tfidf_495,6
tfidf_885,6
tfidf_276,6
tfidf_227,6
tfidf_50,6
tfidf_437,6
tfidf_167,6
tfidf_163,6
tfidf_962,6
tfidf_973,6
tfidf_55,6
tfidf_367,5
tfidf_51,5
tfidf_82,5
tfidf_353,5
tfidf_294,5
tfidf_194,5
tfidf_172,5
tfidf_293,5
tfidf_574,5
tfidf_504,5
tfidf_11,5
tfidf_968,5
tfidf_952,5
tfidf_0,5
tfidf_4,5
tfidf_5,5
tfidf_918,5
tfidf_7,5
tfidf_859,5
tfidf_755,5
tfidf_518,5
tfidf_672,5
tfidf_655,5
tfidf_610,5
tfidf_608,5
tfidf_607,5
tfidf_586,5
tfidf_145,5
tfidf_521,5
tfidf_150,5
tfidf_541,5
tfidf_99,5
tfidf_257,4
tfidf_271,4
tfidf_311,4
tfidf_305,4
tfidf_303,4
tfidf_209,4
tfidf_906,4
tfidf_65,4
tfidf_907,4
tfidf_180,4
tfidf_182,4
tfidf_808,4
tfidf_802,4
tfidf_162,4
tfidf_500,4
tfidf_258,4
tfidf_632,4
tfidf_6,4
tfidf_473,4
tfidf_942,4
tfidf_222,4
tfidf_945,4
tfidf_954,4
tfidf_649,4
tfidf_17,4
tfidf_130,4
tfidf_483,4
tfidf_609,4
tfidf_837,4
tfidf_871,4
tfidf_992,4
tfidf_830,4
tfidf_49,4
has_description,4
tfidf_83,4
tfidf_583,4
tfidf_822,4
tfidf_675,4
tfidf_611,4
tfidf_634,3
tfidf_578,3
tfidf_250,3
tfidf_798,3
tfidf_846,3
tfidf_849,3
tfidf_404,3
tfidf_869,3
tfidf_230,3
tfidf_262,3
tfidf_941,3
tfidf_357,3
tfidf_260,3
tfidf_324,3
tfidf_265,3
tfidf_410,3
tfidf_898,3
tfidf_816,3
tfidf_904,3
tfidf_744,3
tfidf_296,3
tfidf_887,3
tfidf_910,3
tfidf_288,3
tfidf_283,3
tfidf_281,3
tfidf_570,3
tfidf_722,3
tfidf_275,3
tfidf_821,3
tfidf_921,3
tfidf_96,3
tfidf_136,3
tfidf_486,3
tfidf_673,3
tfidf_657,3
tfidf_544,3
tfidf_776,3
tfidf_187,3
tfidf_81,3
tfidf_548,3
tfidf_161,3
tfidf_503,3
tfidf_14,3
tfidf_651,3
tfidf_87,3
tfidf_100,3
tfidf_401,2
tfidf_366,2
tfidf_48,2
tfidf_313,2
tfidf_902,2
tfidf_9,2
tfidf_511,2
tfidf_814,2
tfidf_813,2
tfidf_301,2
tfidf_300,2
tfidf_509,2
tfidf_297,2
tfidf_42,2
tfidf_390,2
tfidf_856,2
tfidf_175,2
tfidf_972,2
tfidf_787,2
tfidf_812,2
tfidf_909,2
tfidf_864,2
tfidf_289,2
tfidf_385,2
tfidf_860,2
tfidf_911,2
tfidf_684,2
tfidf_761,2
tfidf_617,2
tfidf_522,2
tfidf_842,2
tfidf_674,2
tfidf_56,2
tfidf_102,2
tfidf_121,2
tfidf_677,2
tfidf_847,2
tfidf_582,2
tfidf_738,2
tfidf_418,2
tfidf_152,2
tfidf_567,2
tfidf_615,2
tfidf_534,2
tfidf_155,2
tfidf_520,2
tfidf_542,2
tfidf_60,2
tfidf_61,2
tfidf_997,2
tfidf_667,2
tfidf_139,2
tfidf_79,2
tfidf_613,2
tfidf_773,2
tfidf_126,2
tfidf_255,2
tfidf_794,2
tfidf_379,2
tfidf_98,2
tfidf_956,2
tfidf_700,2
tfidf_254,2
tfidf_701,2
tfidf_80,2
tfidf_228,2
tfidf_928,2
tfidf_558,2
tfidf_30,2
tfidf_785,2
tfidf_654,2
tfidf_245,2
tfidf_244,2
tfidf_625,2
tfidf_70,2
tfidf_238,2
tfidf_934,2
tfidf_40,2
tfidf_192,2
tfidf_493,2
tfidf_805,2
tfidf_944,2
tfidf_955,2
tfidf_554,2
tfidf_919,2
tfidf_68,2
tfidf_263,2
tfidf_217,2
tfidf_487,2
tfidf_781,2
tfidf_754,2
tfidf_947,2
tfidf_478,1
tfidf_537,1
tfidf_540,1
tfidf_412,1
tfidf_524,1
tfidf_13,1
tfidf_409,1
tfidf_769,1
tfidf_383,1
tfidf_39,1
tfidf_484,1
tfidf_589,1
tfidf_587,1
tfidf_552,1
tfidf_588,1
tfidf_576,1
tfidf_475,1
tfidf_734,1
tfidf_41,1
tfidf_553,1
tfidf_792,1
tfidf_490,1
tfidf_571,1
tfidf_488,1
tfidf_450,1
tfidf_549,1
tfidf_750,1
tfidf_775,1
tfidf_460,1
tfidf_443,1
tfidf_498,1
tfidf_459,1
tfidf_501,1
tfidf_803,1
tfidf_748,1
tfidf_454,1
tfidf_453,1
tfidf_563,1
tfidf_810,1
tfidf_447,1
tfidf_756,1
tfidf_562,1
tfidf_806,1
tfidf_510,1
tfidf_513,1
tfidf_829,1
tfidf_438,1
tfidf_469,1
tfidf_44,1
tfidf_110,1
tfidf_824,1
tfidf_467,1
tfidf_823,1
tfidf_466,1
tfidf_430,1
tfidf_516,1
tfidf_820,1
tfidf_819,1
tfidf_463,1
tfidf_749,1
tfidf_114,1
tfidf_774,1
tfidf_592,1
tfidf_533,1
tfidf_378,1
tfidf_304,1
tfidf_645,1
tfidf_216,1
tfidf_702,1
tfidf_231,1
tfidf_72,1
tfidf_71,1
tfidf_237,1
tfidf_932,1
tfidf_929,1
tfidf_247,1
tfidf_248,1
tfidf_253,1
tfidf_29,1
tfidf_922,1
tfidf_266,1
tfidf_628,1
tfidf_862,1
tfidf_270,1
tfidf_272,1
tfidf_24,1
tfidf_280,1
tfidf_66,1
tfidf_914,1
tfidf_913,1
tfidf_623,1
tfidf_908,1
tfidf_64,1
tfidf_211,1
tfidf_210,1
tfidf_647,1
tfidf_177,1
tfidf_996,1
tfidf_146,1
tfidf_991,1
tfidf_149,1
tfidf_680,1
tfidf_987,1
tfidf_985,1
tfidf_983,1
tfidf_982,1
tfidf_980,1
tfidf_168,1
tfidf_170,1
tfidf_971,1
tfidf_693,1
tfidf_181,1
tfidf_658,1
tfidf_967,1
tfidf_186,1
tfidf_188,1
tfidf_656,1
tfidf_190,1
tfidf_75,1
tfidf_964,1
tfidf_652,1
tfidf_199,1
tfidf_958,1
tfidf_302,1
tfidf_269,1
tfidf_94,1
tfidf_333,1
tfidf_372,1
tfidf_903,1
tfidf_873,1
tfidf_370,1
tfidf_883,1
tfidf_31,1
tfidf_866,1
tfidf_359,1
tfidf_341,1
tfidf_368,1
tfidf_119,1
tfidf_724,1
tfidf_601,1
tfidf_365,1
tfidf_723,1
tfidf_598,1
tfidf_36,1
tfidf_616,1
tfidf_727,1
tfidf_330,1
tfidf_104,1
tfidf_363,1
tfidf_362,1
tfidf_354,1
tfidf_360,1
tfidf_355,1
tfidf_331,1
tfidf_318,1
tfidf_375,1
tfidf_316,1
tfidf_23,1
tfidf_376,1
tfidf_689,0
tfidf_690,0
tfidf_735,0
tfidf_711,0
tfidf_757,0
tfidf_688,0
tfidf_687,0
tfidf_760,0
tfidf_730,0
tfidf_26,0
tfidf_759,0
tfidf_15,0
tfidf_731,0
tfidf_729,0
tfidf_681,0
tfidf_682,0
tfidf_728,0
tfidf_683,0
tfidf_685,0
tfidf_19,0
tfidf_686,0
